parsed_jt,unique_id_count,associated_reference_jt_list
Plant Technician,3,"plant manager,fallpipe technician,calibration technician,surveying technician"
Plumber / Pipefitter,3,"pipefitter,plumber"
Plumber Pipefitter,10,"pipefitter,plumber"
Port Development Manager,2,platform structure inspector
Port Operation Logistics Coordinator,2,logistics manager
Port Operations Logistics Coordinator,2,"logistics manager,rope access technician,dredge operator,freight forwarder,government relation officer,harbor master"
Port Operations Manager,1,operations manager
Ports Engineer,1,"fallpipe technician,rope access technician,dredge operator,harbor master"
Post Doc Research Associate Electrical Engineer,4,electrical engineer
Post Masters Research Associate Mechanical Engineer,3,mechanical engineer
Power Engineer,11,electrical engineer
Power Market Specialist,1,power marketer and analyst
Power Systems Engineer,3,"energy system analyst,engine room rating"
Power Systems Engineering Engineer,2,"energy system analyst,engine room rating"
Power Systems Engineering Manager,4,"energy system analyst,engine room rating"
Power Systems Manager,1,computer and information system manager
Power Systems Studies Manager,1,"energy system analyst,computer and information system manager"
Pre - Construction Project Manager,2,project manager
Pre Construction Senior Project Manager,2,project manager
Preconstruction Project Manager,4,expediting manager
Preventative Maintenance Wind Service Technician,1,maintenance technician
Principal Electrical Engineer,7,"electronic engineer,electrical engineer,engine room rating"
Principal Environmental Planner & Project Manager,22,"environmental manager,project manager"
Principal Mechanical Design Engineer,1,thermoplastics engineer
Principal Mechanical Engineer,1,"thermoplastics engineer,engine room rating,mechanical inspector"
Principal Process HSE Engineer,1,hse engineer
Principal Product Manager,18,product manager
Principal electrical engineer,12,"electrical engineer,engine room rating"
Principal project manager,4,project manager
Process / Chemical Engineer,1,"thermoplastics engineer,metal refiner"
Process Engineering Technician,1,engineering technician
Procurement & Logistics Manager,2,"procurement manager,logistics manager"
Procurement Manager,25,"purchasing manager,procurement manager,expediting manager,inspection and expediting manager"
Product Application Engineering Manager,1,product manager
Product Delivery Manager (Product Owner),1,product manager
Product Delivery Manager Product Owner),1,product manager
Product Line Manager,1,product manager
Product Manager,16,product manager
Product Marketing Specialist,20,product manager
Product Safety Engineer,1,"safety specialist,safety engineer"
Production Line Manager,1,production supervisor manager
Production Manager,9,production supervisor manager
Production Quality Engineer,2,quality assurance (qa) quality control (qc) engineer
Production Quality Lead Engineer,1,production manufacturing engineer
Production Revenue Accountant,1,accountant
Production Supervisor,144,production supervisor manager
Production Technician,2,production manufacturing engineer
Production Technician Supply Chain Analyst,1,supply chain analyst
Production Worker,2,production manufacturing engineer
Program Management Office Manager,1,government relation officer
Project Accountant,4,accountant
Project Coordinator Administrative Assistant,1,"expediting manager,maintenance coordinator"
Project Development Manager,3,"project manager,development manager"
Project Engineer,876,"project manager,surface engineer,thermoplastics engineer,civil engineer technician,tower design engineer"
Project Engineering Manager,1,project manager
Project Environmental Planner / Project Manager,3,"environmental manager,project manager"
Project Health & Safety Manager,1,"health safety and environment manager,project manager"
Project Labor Negotiations Lead,1,"construction laborer,labor relation manager"
Project Manager,1155,"project manager,construction manager,development manager,expediting manager,inspection and expediting manager"
Project Manager Permitting Specialist,3,"expediting manager,inspection and expediting manager"
Project Manager Project Manager,4,"project manager,expediting manager"
Project Manager and Structural Engineer,10,"project manager,architectural and engineering manager"
Project Procurement Manager,10,procurement manager
Project Purchasing Manager and Team Leader,1,"project manager,purchasing manager"
Project Quality Control Manager,5,project manager
Project manager,9,"expediting manager,project manager"
Property Tax Senior Analyst or Manager,1,tax compliance officer
Proposal Manager,2,expediting manager
Protection & Control Engineer,1,"control room operator,vibration and noise control engineer"
Public Affairs / Stakeholder Relations Lead,1,community relation and stakeholder engagement manager
Public Affairs Senior Manager,1,government relation officer
Public Policy Director,1,"environmental policy analyst,government relation officer"
Public Relations and Brand Manager,1,public relation specialist
Purchasing Manager,9,"sales manager,purchasing manager"
QA Lab Technician,1,quality assurance (qa) quality control (qc) technician
Quality Assurance Engineer,2,quality assurance and control inspector
Quality Assurance Manager,6,quality assurance and control inspector
Quality Control Inspector,9,"quality assurance and control inspector,tower inspector,corrosion inspector,custom officer,inspection and expediting manager,inspection manager,mechanical inspector"
Quality Engineer,440,quality assurance (qa) quality control (qc) engineer
Quality Inspector,166,"quality assurance and control inspector,platform structure inspector,tower inspector,corrosion inspector,custom officer,foundation inspector,inspection and expediting manager,inspection manager,mechanical inspector,metal refiner,welding inspector"
Quality Manager,1,quality assurance (qa) quality control (qc) manager
RNG Technician,2,"rope access technician,metal refiner"
Real Estate Paralegal,4,paralegal
Regional Operations Site Manager,2,operations manager
Regional Planner,1,government relation officer
Regional Sales Manager,81,sales manager
Regional Sales Representative,6,sales representative
Regional Warehouse Manager,1,"warehouse support,warehouse manager"
Remote Inventory Control Specialist,1,"rope access technician,inspection and expediting manager"
Remote Operations Manager,1,"rope access technician,government relation officer"
Renewable Construction Manager,1,construction manager
Renewable Electrical Engineer,32,electrical engineer
Renewable Energy Analyst,2,"energy system analyst,metal refiner"
Renewable Energy Construction Manager,4,"wind energy development manager,construction manager"
Renewable Energy Construction Project Manager,1,"construction manager,project manager"
Renewable Energy Originator,1,metal refiner
Renewables Business Development Manager,9,development manager
Renewables Engineering Consultant,2,metal refiner
Renewables Project Development Manager,1,"wind energy development manager,development manager,project manager"
Resource Analyst,1,"data analyst and condition monitoring,metal refiner"
Revenue Intern,2,government relation officer
Rigger,10,"rigger,rope access technician,carpenter,dredge operator"
Rigger / Driver,2,rigger
Rigger Foreman,1,"rope access technician,construction foreman,dredge operator,foreman welder,freight forwarder,material mover supervisor"
Risk Analyst,1,insurance specialist
SCADA Engineer,3,"control room operator,data analyst and condition monitoring"
SCADA Project Manager,1,project manager
SOLAR ELECTRICAL ENGINEER,2,electrical engineer
Safety Engineer,13,"safety specialist,safety engineer"
Safety Engineering Intern,2,safety engineer
Safety Manager,15,safety specialist
Safety Officer,1,safety specialist
Safety Specialist,15,"safety specialist,insurance specialist,it specialist"
Safety Supervisor,1,safety specialist
Safety and Environmental Health Manager,1,"health safety and environment technician,environmental manager"
Sales Assistant,2,sales representative
Sales Associate,8,sales representative
Sales Engineer,12,"technical commercial sales engineer,sales engineer"
Sales Engineer Utility,5,sales engineer
Sales Manager,28,"sales manager,expediting manager"
Sales Representative,7,sales representative
Sales and business development representative,1,sales representative
Salesforce Business Analyst,3,marketing and business development analyst
Scheduling Project Manager,3,expediting manager
Screw Machine Operator,1,machine operator
Senior Analyst,14,marketing and business development analyst
Senior Manager,105,expediting manager
Senior Operations Manager,2,logistic and operation manager
Senior Procurement Manager,15,"expediting manager,inspection and expediting manager,procurement manager"
Senior Project Manager,15,"project manager,expediting manager"
Senior Project Officer,6,"custom officer,government relation officer"
Senior Safety Specialist,2,safety specialist
Senior Scientist Project Manager,1,project manager
Senior Vice,1,vice president
Senior Vice President,2,vice president
Service Center Technician,1,maintenance technician
Service Operations Manager,19,operations manager
Service Sales & Account Manager,1,sales manager
Service Technician,129,maintenance technician
Services Associate,1,rope access technician
Shop Technician,3,maintenance technician
Shop Welder,7,welder
Site Construction Manager,6,construction manager
Site Logistics Manager,1,"logistics manager,inspection and expediting manager,material mover supervisor"
Site Operations Manager,5,operations manager
Site Operator,28,"dredge operator,machine operator"
Site Safety & Health Officer,2,health safety and environment manager
Site Warehouse Manager,2,"warehouse support,warehouse manager"
Siting and Acoustics Engineer .,1,vibration and noise control engineer
Software Developer,1,software developer
Software Development Manager,2,computer and information system manager
Software Engineer,1,software developer
Solar / Wind Contracts & Supply Chain Manager,1,supply chain manager
Solar Construction Manager,5,construction manager
Solar Farm Technician,1,surveying technician
Solar Operations Site Supervisor,2,surveyor
Solar PV Electrical Engineer,2,electrical engineer
Solar Technician,6,surveying technician
Solenoid Assembler,2,assembler
Sourcing Manager,1,purchasing manager
Special Processes Warehouse Supervisor,5,warehouse coordinator
Specialist,2,"insurance specialist,it specialist"
Spray Foam Product Engineering Manager,1,product manager
Spray Foam Product Manager,2,product manager
Sr Engineer,1,surface engineer
Sr Engineering Project Manager,2,project manager
Sr Product Marketing Manager,1,"product manager,marketing manager"
Staff . Electrical . Engineer,8,"electrician foreman,engine room rating"
Staff Electrical Engineer,24,"electrical engineer,engine room rating"
Staff Manager,1,"operations manager,project manager"
State & Local Tax Accountant,1,accountant
Station / Control Room Operator Helper,1,"rope access technician,control room operator,engine room rating"
Station Electrician,1,"industrial machinery electrician,electrician"
Strategic Development Manager,1,training and development manager
Strategic Main Package Procurement Manager,1,procurement manager
Strategic Procurement Manager,2,procurement manager
Strategy Analyst,1,"energy system analyst,data analyst and condition monitoring,marketing and business development analyst"
Structural / Installation Engineer,1,structural metal engineer
Structural Design Engineer,1,tower design engineer
Structural Engineer,37,"structural metal engineer,marine structural engineer,civil drafter,platform structure inspector,surface engineer,tower design engineer"
Structural Engineer and Project Manager,2,project manager
Structural Graduate Engineer,8,structural metal engineer
Structural Offshore Engineer,3,"surface engineer,dredge operator,marine structural engineer"
Structural Project Engineer,26,structural metal engineer
Subsea Electrical Engineer,2,"underwater welder,dredge operator,engine room rating"
Substation Construction Lead Project Manager,21,"construction manager,project manager"
Substation Electrical Engineer,1,"electrical engineer,engine room rating"
Summer Condition Monitoring Intern,2,data analyst and condition monitoring
Summer Wind Turbine Condition Monitoring Intern,1,data analyst and condition monitoring
Supervisor,1,material mover supervisor
Supply Chain Leader,6,supply chain manager
Supply Chain Manager,51,supply chain manager
Supply Chain Process Manager,2,supply chain manager
Supply Chain Sustainability Manager,1,supply chain manager
System Administrator,3,computer and information system manager
System Engineer,1,"surface engineer,computer and information system manager"
Systems Engineer,3,"energy system analyst,surface engineer,computer and information system manager"
Systems Engineering and Optimization Researcher,1,energy system analyst
Talent Development Specialist,1,training and development specialist
Tax Accountant,3,accountant
Tax Compliance Leader,1,tax compliance officer
Tax Provision Lead,1,tax compliance officer
Technical & Safety Instructor,2,safety specialist
Technical Analyst,3,data analyst and condition monitoring
Technical Development Manager,1,training and development manager
Technical Engineer,1,"fallpipe technician,surface engineer,thermoplastics engineer,calibration technician,civil engineer technician,mechanical engineer technician,surveying technician,tower design engineer,vibration and noise control engineer"
Technical Manager,1,calibration technician
Technical Sales Engineer,2,"technical commercial sales engineer,sales engineer"
Technical Sales Manager,1,"technical commercial sales engineer,sales manager"
Technical Sales Representative,2,"technical commercial sales engineer,sales representative"
Technical Sales Specialist,1,"insurance specialist,it specialist"
Technical Site Supervisor,2,"rope access technician,surveying technician"
Technical Training Specialist,3,training and development specialist
Technical Writer,7,technical writer
Technician,3,maintenance technician
Technician Overhaul Hydraulic / Mechanical Technician,1,hydraulics technician
Tender & Project Purchasing Manager,1,"procurement manager,project manager,purchasing manager"
Terminal Construction Site Manager,1,construction manager
Territory Sales Manager,1,sales manager
Test Engineer,1,engineering technician
Tiger Team Technician,4,rope access technician
Tool Room Machinist,1,milling machinist
Transmission Business Developer,1,metal refiner
Transmission Engineer Business Development Manager,1,development manager
Transmission Line Project Engineering Manager,37,project manager
Transmission Manager,4,metal refiner
Transmission Specialist,4,insurance specialist
Transportation Logistics Project Manager,1,"logistics manager,project manager"
Traveling Blade Repair Technician,1,blade inspection technician
Traveling Blade Repair Technicians,3,blade inspection technician
Tribal Relations Manager,1,"government relation officer,labor relation manager"
Truck Driver,13,truck driver
Undergraduate Intern Electrical Engineer,1,electrical engineer
Utility - Scale Solar Project Manager & Construction Manager,1,"construction manager,project manager"
Utility Sales Engineer,2,sales engineer
VICE PRESIDENT SALES,1,vice president
Vessel Project Manager,1,"vessel operator,project manager"
Vice,1,vice president
Vice President,10,vice president
Vice President Business Development,3,vice president
Vice President Development,1,vice president
Vice President Equipment,1,vice president
Vice President Project Development,2,vice president
Vice President Renewable Private,1,vice president
Vice President Sales,1,vice president
Warehouse Associate,188,warehouse manager
Warehouse Associate / Driver,1,warehouse manager
Warehouse Associate and Rigger Helper,1,rigger
Warehouse Coordinator,10,"warehouse support,warehouse coordinator"
Warehouse Driver (Rigger),1,industrial truck and tractor operator
Warehouse Driver / Rigger,2,"warehouse manager,rigger"
Warehouse Helper Rigger,1,rigger
Warehouse Inventory Associate,2,warehouse support
Warehouse Inventory Coordinator,2,"warehouse support,warehouse coordinator"
Warehouse Manager,18,"warehouse support,warehouse manager,expediting manager,freight forwarder,inspection and expediting manager,inspection manager,maintenance coordinator,material mover supervisor"
Warehouse Materials Specialist,1,warehouse manager
Warehouse Operations Manager,2,"warehouse support,operations manager,warehouse manager"
Warehouse Storekeeper,1,warehouse manager
Warehouse Supervisor,23,"warehouse manager,freight forwarder,material mover supervisor"
Warehouse Worker,1,warehouse manager
Warehouse Worker HRLY,8,warehouse manager
Weld Engineer,1,welding machinist
Welder,760,"welding machinist,welder"
Welder Fabricating,4,welder
Welder Fabricator,27,"welding machinist,welder"
Welding Fabrication Supervisor / NDT Inspector,1,welding inspector
Welding Inspector,3,"welding machinist,welding inspector"
Wetland Scientist Permitting Specialist,1,hydrologist
White Cloud Service Operations Manager,2,operations manager
Wind Construction Manager,3,"wind plant operation manager,construction manager"
Wind Development Associate,1,wind turbine technician
Wind Energy Consultant,3,wind energy development manager
Wind Energy Maintenance Technician,4,"wind turbine technician,maintenance technician"
Wind Energy Operations Manager,1,operations manager
Wind Energy Sales Development Manager,1,"wind plant operation manager,development manager,sales manager,wind energy development manager"
Wind Engineering Manager,5,wind turbine technician
Wind Environmental Team Lead Project Manager,3,"environmental manager,project manager"
Wind Farm Technician,70,"surveying technician,wind turbine technician"
Wind Farm Technician Intern,2,wind turbine technician
Wind Farm Technician Internship,1,wind turbine technician
Wind Operations and Maintenance (O&M) Technician,5,maintenance technician
Wind Plant Manager,2,plant manager
Wind Product Manager,5,"product manager,meteorologist,wind energy development manager"
Wind Project Construction Manager,2,"wind plant operation manager,construction manager,project manager"
Wind Site Operations Manager,4,operations manager
Wind Site Project Manager,1,project manager
Wind Site Supervisor,6,wind plant operation manager
Wind Technician,233,"wind turbine technician,meteorologist,surveying technician"
Wind Turbine Blade Repair Technician,1,wind turbine technician
Wind Turbine Blade Technician,4,wind turbine technician
Wind Turbine Composite Repair Technician,1,wind turbine technician
Wind Turbine Engineer Intern,1,wind turbine technician
Wind Turbine Field Service Technician,6,wind turbine technician
Wind Turbine Maintenance Technician,5,"wind turbine technician,maintenance technician"
Wind Turbine Project Manager,1,"wind energy development manager,wind plant operation manager"
Wind Turbine Regional Operations Site Manager,1,"wind plant operation manager,operations manager"
Wind Turbine Services Operations Manager,3,"wind turbine technician,operations manager"
Wind Turbine Technician,854,wind turbine technician
Wind Turbine Technician Apprenticeship,1,wind turbine technician
Wind turbine engineer,3,wind turbine technician
Workforce Development Manager,1,training and development manager
accountant,1,"custom officer,surveyor"
deputy construction manager,1,construction manager
electrical engineer,1,"electronic engineer,electrical inspector,electrical power line installer,electrical drafter,electrical engineer technician,electrician foreman"
project engineer,5,"civil drafter,surface engineer,thermoplastics engineer,civil engineer,civil engineer technician,inspection and expediting manager,mining engineer,surveyor,tower design engineer"
structural engineer,1,marine structural engineer
